20.10.19 05:17:39.600 37.663063N 122.489326W 29.58C 1005.26| 0.00C 0.00| 0.00C 0.00| dv<1.29 0.73 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:38.900 37.663109N 122.489311W 29.14C 1005.24| 25.33C 1004.42| 0.00C 0.00| dv<1.25 0.74 9.60> r<0.03 -0.00 0.01>
20.10.19 05:19:39.000 37.663109N 122.489311W 29.14C 1005.24| 25.33C 1004.42| 0.00C 0.00| dv<1.22 0.75 9.62> r<0.03 -0.00 0.01>
20.10.19 05:19:39.100 37.663109N 122.489311W 29.14C 1005.28| 25.33C 1004.42| 0.00C 0.00| dv<1.24 0.70 9.69> r<0.02 -0.04 0.01>
20.10.19 05:19:39.200 37.663109N 122.489311W 29.14C 1005.25| 25.32C 1004.39| 0.00C 0.00| dv<1.24 0.75 9.59> r<0.03 -0.00 0.01>
20.10.19 05:19:39.300 37.663109N 122.489311W 29.14C 1005.25| 25.31C 1004.42| 0.00C 0.00| dv<1.24 0.73 9.64> r<0.02 -0.00 0.01>
20.10.19 05:19:39.400 37.663109N 122.489311W 29.14C 1005.23| 25.31C 1004.41| 0.00C 0.00| dv<1.27 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:39.500 37.663109N 122.489311W 29.14C 1005.28| 25.31C 1004.42| 0.00C 0.00| dv<1.28 0.72 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:39.600 37.663109N 122.489311W 29.14C 1005.25| 25.30C 1004.44| 0.00C 0.00| dv<1.25 0.72 9.64> r<0.03 -0.00 0.01>
20.10.19 05:19:39.700 37.663109N 122.489311W 29.14C 1005.25| 25.31C 1004.40| 0.00C 0.00| dv<1.28 0.73 9.61> r<0.02 -0.00 0.01>
20.10.19 05:19:39.800 37.663109N 122.489311W 29.14C 1005.27| 25.31C 1004.40| 0.00C 0.00| dv<1.27 0.75 9.64> r<0.03 0.00 0.01>
20.10.19 05:19:39.900 37.663109N 122.489311W 29.14C 1005.25| 25.31C 1004.41| 0.00C 0.00| dv<1.25 0.73 9.64> r<0.02 -0.00 0.01>
20.10.19 05:19:40.000 37.663109N 122.489311W 29.14C 1005.24| 25.31C 1004.42| 0.00C 0.00| dv<1.24 0.72 9.65> r<0.02 -0.00 0.01>
20.10.19 05:19:40.100 37.663109N 122.489311W 29.14C 1005.26| 25.31C 1004.40| 0.00C 0.00| dv<1.29 0.68 9.66> r<0.03 -0.00 0.01>
20.10.19 05:19:40.200 37.663109N 122.489311W 29.13C 1005.29| 25.31C 1004.40| 0.00C 0.00| dv<1.24 0.70 9.61> r<0.02 -0.00 0.01>
20.10.19 05:19:40.300 37.663109N 122.489311W 29.13C 1005.26| 25.30C 1004.43| 0.00C 0.00| dv<1.25 0.73 9.65> r<0.03 -0.00 0.01>
20.10.19 05:19:40.400 37.663109N 122.489311W 29.13C 1005.27| 25.31C 1004.42| 0.00C 0.00| dv<1.27 0.75 9.66> r<0.02 -0.00 0.01>
20.10.19 05:19:40.500 37.663109N 122.489311W 29.13C 1005.26| 25.30C 1004.41| 0.00C 0.00| dv<1.29 0.73 9.67> r<0.02 -0.00 0.01>
20.10.19 05:19:40.600 37.663109N 122.489311W 29.13C 1005.27| 25.30C 1004.41| 0.00C 0.00| dv<1.25 0.73 9.64> r<0.02 0.00 0.01>
20.10.19 05:19:40.700 37.663109N 122.489311W 29.13C 1005.28| 25.30C 1004.40| 0.00C 0.00| dv<1.24 0.72 9.64> r<0.03 -0.00 0.01>
20.10.19 05:19:40.800 37.663109N 122.489311W 29.13C 1005.24| 25.30C 1004.41| 0.00C 0.00| dv<1.27 0.72 9.71> r<0.02 0.00 0.02>
20.10.19 05:19:40.900 37.663109N 122.489311W 29.13C 1005.23| 25.29C 1004.42| 0.00C 0.00| dv<1.31 0.74 9.68> r<0.03 0.00 0.01>
20.10.19 05:19:41.000 37.663109N 122.489311W 29.13C 1005.25| 25.30C 1004.40| 0.00C 0.00| dv<1.27 0.72 9.62> r<0.03 -0.00 0.01>
20.10.19 05:19:41.100 37.663109N 122.489311W 29.13C 1005.27| 25.30C 1004.43| 0.00C 0.00| dv<1.25 0.73 9.60> r<0.02 -0.00 0.01>
20.10.19 05:19:41.200 37.663109N 122.489311W 29.13C 1005.26| 25.30C 1004.43| 0.00C 0.00| dv<1.26 0.76 9.61> r<0.03 -0.01 0.01>
20.10.19 05:19:41.300 37.663109N 122.489311W 29.13C 1005.28| 25.30C 1004.41| 0.00C 0.00| dv<1.26 0.71 9.67> r<0.02 0.00 0.01>
20.10.19 05:19:41.400 37.663109N 122.489311W 29.13C 1005.25| 25.31C 1004.43| 0.00C 0.00| dv<1.27 0.74 9.64> r<0.02 -0.00 0.01>
20.10.19 05:19:41.500 37.663109N 122.489311W 29.12C 1005.24| 25.31C 1004.42| 0.00C 0.00| dv<1.29 0.73 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:41.600 37.663109N 122.489311W 29.13C 1005.24| 25.31C 1004.40| 0.00C 0.00| dv<1.23 0.74 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:41.700 37.663109N 122.489311W 29.13C 1005.26| 25.31C 1004.40| 0.00C 0.00| dv<1.24 0.75 9.61> r<0.03 0.00 0.01>
20.10.19 05:19:41.800 37.663109N 122.489311W 29.12C 1005.27| 25.30C 1004.42| 0.00C 0.00| dv<1.25 0.76 9.63> r<0.02 0.00 0.01>
20.10.19 05:19:41.900 37.663109N 122.489311W 29.13C 1005.26| 25.30C 1004.42| 0.00C 0.00| dv<1.29 0.72 9.66> r<0.03 0.00 0.01>
20.10.19 05:19:42.000 37.663101N 122.489311W 29.12C 1005.26| 25.30C 1004.42| 0.00C 0.00| dv<1.25 0.76 9.64> r<0.03 -0.00 0.01>
20.10.19 05:19:42.100 37.663101N 122.489311W 29.12C 1005.26| 25.31C 1004.43| 0.00C 0.00| dv<1.28 0.74 9.63> r<0.02 0.00 0.01>
20.10.19 05:19:42.200 37.663101N 122.489311W 29.12C 1005.25| 25.30C 1004.43| 0.00C 0.00| dv<1.24 0.74 9.62> r<0.02 0.00 0.01>
20.10.19 05:19:42.300 37.663101N 122.489311W 29.12C 1005.26| 25.30C 1004.40| 0.00C 0.00| dv<0.96 0.74 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:42.400 37.663101N 122.489311W 29.12C 1005.25| 25.31C 1004.43| 0.00C 0.00| dv<1.30 0.73 9.68> r<0.03 -0.00 0.01>
20.10.19 05:19:42.500 37.663101N 122.489311W 29.12C 1005.27| 25.30C 1004.43| 0.00C 0.00| dv<1.25 0.72 9.60> r<0.03 -0.00 0.01>
20.10.19 05:19:42.600 37.663101N 122.489311W 29.12C 1005.27| 25.30C 1004.41| 0.00C 0.00| dv<0.94 0.74 9.64> r<0.03 -0.00 0.01>
20.10.19 05:19:42.700 37.663101N 122.489311W 29.12C 1005.26| 25.30C 1004.40| 0.00C 0.00| dv<1.27 0.70 9.67> r<0.02 -0.00 0.01>
20.10.19 05:19:42.800 37.663101N 122.489311W 29.12C 1005.27| 25.30C 1004.42| 0.00C 0.00| dv<1.28 0.74 9.64> r<0.03 -0.00 0.01>
20.10.19 05:19:42.900 37.663101N 122.489311W 29.12C 1005.25| 25.30C 1004.41| 0.00C 0.00| dv<1.26 0.75 9.62> r<0.03 -0.00 0.01>
20.10.19 05:19:43.000 37.663101N 122.489311W 29.12C 1005.26| 25.31C 1004.44| 0.00C 0.00| dv<1.29 0.72 9.63> r<0.02 -0.00 0.01>
20.10.19 05:19:43.100 37.663101N 122.489311W 29.12C 1005.27| 25.31C 1004.42| 0.00C 0.00| dv<1.27 0.75 9.65> r<0.03 -0.00 0.01>
20.10.19 05:19:43.200 37.663101N 122.489311W 29.12C 1005.28| 25.31C 1004.42| 0.00C 0.00| dv<1.26 0.72 9.63> r<0.02 -0.00 0.01>
20.10.19 05:19:43.300 37.663101N 122.489311W 29.12C 1005.25| 25.31C 1004.42| 0.00C 0.00| dv<1.26 0.72 9.63> r<0.02 0.00 0.01>
20.10.19 05:19:43.400 37.663101N 122.489311W 29.11C 1005.26| 25.31C 1004.41| 0.00C 0.00| dv<1.30 0.71 9.66> r<0.02 -0.01 0.01>
20.10.19 05:19:43.500 37.663101N 122.489311W 29.11C 1005.24| 25.31C 1004.41| 0.00C 0.00| dv<1.27 0.73 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:43.600 37.663101N 122.489311W 29.11C 1005.26| 25.31C 1004.40| 0.00C 0.00| dv<1.26 0.74 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:43.700 37.663101N 122.489311W 29.11C 1005.27| 25.31C 1004.41| 0.00C 0.00| dv<1.26 0.72 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:43.800 37.663101N 122.489311W 29.11C 1005.25| 25.31C 1004.41| 0.00C 0.00| dv<1.23 0.72 9.66> r<0.02 -0.00 0.01>
20.10.19 05:19:43.900 37.663101N 122.489311W 29.11C 1005.22| 25.31C 1004.43| 0.00C 0.00| dv<1.26 0.75 9.73> r<0.03 -0.00 0.01>
20.10.19 05:19:44.000 37.663101N 122.489311W 29.11C 1005.27| 25.32C 1004.44| 0.00C 0.00| dv<1.29 0.73 9.64> r<0.02 0.00 0.01>
20.10.19 05:19:44.100 37.663101N 122.489311W 29.11C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.26 0.72 9.68> r<0.02 0.00 0.01>
20.10.19 05:19:44.200 37.663101N 122.489311W 29.11C 1005.26| 25.31C 1004.43| 0.00C 0.00| dv<1.24 0.74 9.68> r<0.02 0.04 0.01>
20.10.19 05:19:44.300 37.663101N 122.489311W 29.11C 1005.27| 25.31C 1004.39| 0.00C 0.00| dv<1.26 0.72 9.65> r<0.03 -0.00 0.01>
20.10.19 05:19:44.400 37.663101N 122.489311W 29.11C 1005.26| 25.32C 1004.41| 0.00C 0.00| dv<1.26 0.71 9.65> r<0.03 -0.04 0.01>
20.10.19 05:19:44.500 37.663101N 122.489326W 29.10C 1005.26| 25.31C 1004.41| 0.00C 0.00| dv<1.28 0.71 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:44.600 37.663101N 122.489326W 29.11C 1005.26| 25.32C 1004.42| 0.00C 0.00| dv<1.26 0.69 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:44.700 37.663101N 122.489326W 29.10C 1005.25| 25.32C 1004.41| 0.00C 0.00| dv<1.26 0.73 9.69> r<0.03 -0.00 0.01>
20.10.19 05:19:44.800 37.663101N 122.489326W 29.11C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.26 0.72 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:44.900 37.663101N 122.489326W 29.10C 1005.25| 25.32C 1004.42| 0.00C 0.00| dv<1.24 0.73 9.63> r<0.02 -0.00 0.01>
20.10.19 05:19:45.000 37.663101N 122.489326W 29.10C 1005.24| 25.31C 1004.39| 0.00C 0.00| dv<1.26 0.72 9.61> r<0.02 0.00 0.01>
20.10.19 05:19:45.100 37.663101N 122.489326W 29.10C 1005.26| 25.31C 1004.45| 0.00C 0.00| dv<1.24 0.71 9.60> r<0.03 -0.00 0.01>
20.10.19 05:19:45.200 37.663101N 122.489326W 29.10C 1005.25| 25.31C 1004.42| 0.00C 0.00| dv<1.30 0.75 9.65> r<0.03 0.00 0.01>
20.10.19 05:19:45.300 37.663101N 122.489326W 29.11C 1005.30| 25.30C 1004.42| 0.00C 0.00| dv<1.27 0.73 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:45.400 37.663101N 122.489326W 29.10C 1005.27| 25.30C 1004.40| 0.00C 0.00| dv<1.22 0.74 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:45.500 37.663101N 122.489326W 29.10C 1005.26| 25.30C 1004.40| 0.00C 0.00| dv<1.23 0.70 9.62> r<0.02 0.00 0.01>
20.10.19 05:19:45.600 37.663101N 122.489326W 29.10C 1005.27| 25.30C 1004.41| 0.00C 0.00| dv<1.23 0.70 9.66> r<0.03 -0.00 0.01>
20.10.19 05:19:45.700 37.663101N 122.489326W 29.10C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.28 0.72 9.64> r<0.02 0.00 0.01>
20.10.19 05:19:45.800 37.663101N 122.489326W 29.10C 1005.25| 25.31C 1004.43| 0.00C 0.00| dv<1.26 0.73 9.61> r<0.02 -0.00 0.01>
20.10.19 05:19:45.900 37.663101N 122.489326W 29.10C 1005.24| 25.30C 1004.43| 0.00C 0.00| dv<1.27 0.71 9.65> r<0.02 -0.00 0.01>
20.10.19 05:19:46.000 37.663101N 122.489326W 29.10C 1005.27| 25.30C 1004.41| 0.00C 0.00| dv<1.28 0.72 9.64> r<0.02 -0.00 0.01>
20.10.19 05:19:46.100 37.663101N 122.489326W 29.10C 1005.27| 25.30C 1004.42| 0.00C 0.00| dv<1.25 0.73 9.60> r<0.02 0.00 0.01>
20.10.19 05:19:46.200 37.663101N 122.489326W 29.10C 1005.26| 25.30C 1004.39| 0.00C 0.00| dv<1.26 0.72 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:46.300 37.663101N 122.489326W 29.10C 1005.28| 25.30C 1004.42| 0.00C 0.00| dv<1.23 0.74 9.60> r<0.02 0.00 0.01>
20.10.19 05:19:46.400 37.663101N 122.489326W 29.09C 1005.26| 25.31C 1004.41| 0.00C 0.00| dv<1.22 0.73 9.68> r<0.03 0.00 0.01>
20.10.19 05:19:46.500 37.663101N 122.489326W 29.09C 1005.27| 25.31C 1004.42| 0.00C 0.00| dv<1.22 0.75 9.66> r<0.03 0.00 0.01>
20.10.19 05:19:46.600 37.663101N 122.489326W 29.09C 1005.24| 25.31C 1004.42| 0.00C 0.00| dv<1.23 0.71 9.69> r<0.02 0.00 0.01>
20.10.19 05:19:46.700 37.663101N 122.489326W 29.09C 1005.25| 25.31C 1004.43| 0.00C 0.00| dv<1.25 0.73 9.66> r<0.02 0.00 0.01>
20.10.19 05:19:46.800 37.663101N 122.489326W 29.09C 1005.26| 25.31C 1004.39| 0.00C 0.00| dv<1.28 0.70 9.55> r<0.02 -0.00 0.01>
20.10.19 05:19:46.900 37.663097N 122.489326W 29.09C 1005.26| 25.31C 1004.43| 0.00C 0.00| dv<1.27 0.72 9.58> r<0.02 0.00 0.01>
20.10.19 05:19:47.000 37.663097N 122.489326W 29.09C 1005.27| 25.31C 1004.42| 0.00C 0.00| dv<1.22 0.71 9.67> r<0.02 0.00 0.01>
20.10.19 05:19:47.100 37.663097N 122.489326W 29.09C 1005.23| 25.32C 1004.42| 0.00C 0.00| dv<1.25 0.74 9.61> r<0.02 -0.00 0.01>
20.10.19 05:19:47.200 37.663097N 122.489326W 29.09C 1005.27| 25.32C 1004.43| 0.00C 0.00| dv<1.29 0.75 9.63> r<0.03 0.00 0.01>
20.10.19 05:19:47.300 37.663097N 122.489326W 29.09C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.25 0.75 9.67> r<0.02 -0.00 0.01>
20.10.19 05:19:47.400 37.663097N 122.489326W 29.09C 1005.27| 25.31C 1004.40| 0.00C 0.00| dv<1.30 0.72 9.62> r<0.02 0.00 0.01>
20.10.19 05:19:47.500 37.663097N 122.489326W 29.09C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.28 0.71 9.63> r<0.02 -0.00 0.01>
20.10.19 05:19:47.600 37.663097N 122.489326W 29.08C 1005.28| 25.31C 1004.42| 0.00C 0.00| dv<1.24 0.72 9.64> r<0.03 -0.00 0.01>
20.10.19 05:19:47.700 37.663097N 122.489326W 29.09C 1005.24| 25.31C 1004.41| 0.00C 0.00| dv<1.29 0.72 9.65> r<0.02 -0.00 0.01>
20.10.19 05:19:47.800 37.663097N 122.489326W 29.08C 1005.25| 25.31C 1004.41| 0.00C 0.00| dv<1.29 0.72 9.68> r<0.02 -0.04 0.01>
20.10.19 05:19:47.900 37.663097N 122.489326W 29.09C 1005.25| 25.31C 1004.42| 0.00C 0.00| dv<1.28 0.73 9.64> r<0.02 0.00 0.01>
20.10.19 05:19:48.000 37.663097N 122.489326W 29.08C 1005.25| 25.31C 1004.40| 0.00C 0.00| dv<1.25 0.70 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:48.100 37.663097N 122.489326W 29.08C 1005.25| 25.31C 1004.40| 0.00C 0.00| dv<1.24 0.73 9.64> r<0.02 0.00 0.01>
20.10.19 05:19:48.200 37.663097N 122.489326W 29.09C 1005.28| 25.30C 1004.41| 0.00C 0.00| dv<1.23 0.75 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:48.300 37.663097N 122.489326W 29.08C 1005.27| 25.30C 1004.40| 0.00C 0.00| dv<1.24 0.72 9.57> r<0.02 -0.00 0.01>
20.10.19 05:19:48.400 37.663097N 122.489326W 29.08C 1005.24| 25.31C 1004.40| 0.00C 0.00| dv<1.27 0.70 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:48.500 37.663097N 122.489326W 29.08C 1005.26| 25.30C 1004.42| 0.00C 0.00| dv<1.27 0.73 9.68> r<0.03 -0.00 0.01>
20.10.19 05:19:48.600 37.663097N 122.489326W 29.08C 1005.27| 25.30C 1004.39| 0.00C 0.00| dv<1.28 0.74 9.66> r<0.02 -0.01 0.01>
20.10.19 05:19:48.700 37.663097N 122.489326W 29.08C 1005.25| 25.31C 1004.40| 0.00C 0.00| dv<1.23 0.73 9.64> r<0.03 0.00 0.01>
20.10.19 05:19:48.800 37.663097N 122.489326W 29.08C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.25 0.75 9.67> r<0.02 -0.00 0.01>
20.10.19 05:19:48.900 37.663097N 122.489326W 29.08C 1005.26| 25.30C 1004.40| 0.00C 0.00| dv<1.24 0.72 9.62> r<0.02 0.00 0.01>
20.10.19 05:19:49.000 37.663097N 122.489326W 29.08C 1005.26| 25.31C 1004.42| 0.00C 0.00| dv<1.27 0.74 9.66> r<0.02 -0.00 0.01>
20.10.19 05:19:49.100 37.663097N 122.489326W 29.08C 1005.23| 25.31C 1004.41| 0.00C 0.00| dv<1.25 0.76 9.67> r<0.03 -0.00 0.01>
20.10.19 05:19:49.200 37.663097N 122.489326W 29.08C 1005.27| 25.31C 1004.41| 0.00C 0.00| dv<1.24 0.73 9.63> r<0.02 0.00 0.01>
20.10.19 05:19:49.300 37.663097N 122.489326W 29.08C 1005.23| 25.31C 1004.41| 0.00C 0.00| dv<1.30 0.71 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:49.400 37.663097N 122.489326W 29.07C 1005.27| 25.32C 1004.41| 0.00C 0.00| dv<1.26 0.72 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:49.500 37.663097N 122.489326W 29.07C 1005.24| 25.32C 1004.40| 0.00C 0.00| dv<1.26 0.73 9.71> r<0.03 -0.00 0.01>
20.10.19 05:19:49.600 37.663097N 122.489326W 29.07C 1005.26| 25.32C 1004.40| 0.00C 0.00| dv<1.26 0.71 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:49.700 37.663097N 122.489326W 29.07C 1005.26| 25.32C 1004.40| 0.00C 0.00| dv<1.26 0.71 9.64> r<0.02 -0.00 0.01>
20.10.19 05:19:49.800 37.663097N 122.489326W 29.07C 1005.28| 25.32C 1004.40| 0.00C 0.00| dv<1.27 0.70 9.66> r<0.02 -0.00 0.01>
20.10.19 05:19:49.900 37.663097N 122.489326W 29.07C 1005.26| 25.32C 1004.42| 0.00C 0.00| dv<1.23 0.75 9.68> r<0.02 -0.00 0.01>
20.10.19 05:19:50.000 37.663097N 122.489326W 29.07C 1005.29| 25.32C 1004.43| 0.00C 0.00| dv<1.24 0.73 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:50.100 37.663097N 122.489326W 29.07C 1005.27| 25.32C 1004.41| 0.00C 0.00| dv<1.25 0.71 9.71> r<0.02 0.00 0.01>
20.10.19 05:19:50.200 37.663097N 122.489326W 29.07C 1005.24| 25.33C 1004.39| 0.00C 0.00| dv<1.53 0.74 9.62> r<0.03 0.00 0.01>
20.10.19 05:19:50.300 37.663097N 122.489326W 29.07C 1005.27| 25.33C 1004.43| 0.00C 0.00| dv<1.26 0.72 9.65> r<0.02 0.00 0.01>
20.10.19 05:19:50.400 37.663097N 122.489326W 29.07C 1005.26| 25.33C 1004.42| 0.00C 0.00| dv<1.22 0.73 9.63> r<0.02 0.00 0.01>
20.10.19 05:19:50.500 37.663097N 122.489326W 29.06C 1005.27| 25.33C 1004.44| 0.00C 0.00| dv<1.25 0.69 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:50.600 37.663097N 122.489326W 29.06C 1005.26| 25.33C 1004.42| 0.00C 0.00| dv<1.28 0.73 9.64> r<0.02 -0.01 0.01>
20.10.19 05:19:50.700 37.663097N 122.489326W 29.06C 1005.26| 25.33C 1004.42| 0.00C 0.00| dv<1.21 0.73 9.58> r<0.03 -0.00 0.01>
20.10.19 05:19:50.800 37.663097N 122.489326W 29.06C 1005.27| 25.33C 1004.44| 0.00C 0.00| dv<1.25 0.73 9.67> r<0.03 -0.00 0.01>
20.10.19 05:19:50.900 37.663097N 122.489326W 29.06C 1005.24| 25.33C 1004.42| 0.00C 0.00| dv<1.29 0.72 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:51.000 37.663097N 122.489326W 29.06C 1005.25| 25.33C 1004.42| 0.00C 0.00| dv<1.27 0.73 9.57> r<0.03 0.00 0.01>
20.10.19 05:19:51.100 37.663097N 122.489326W 29.06C 1005.27| 25.33C 1004.44| 0.00C 0.00| dv<1.29 0.72 9.63> r<0.02 -0.00 0.01>
20.10.19 05:19:51.200 37.663097N 122.489326W 29.06C 1005.27| 25.34C 1004.42| 0.00C 0.00| dv<1.22 0.73 9.62> r<0.02 0.00 0.01>
20.10.19 05:19:51.300 37.663097N 122.489326W 29.06C 1005.26| 25.34C 1004.41| 0.00C 0.00| dv<1.27 0.70 9.67> r<0.03 -0.00 0.01>
20.10.19 05:19:51.400 37.663097N 122.489326W 29.06C 1005.27| 25.34C 1004.42| 0.00C 0.00| dv<1.25 0.71 9.63> r<0.02 0.00 0.01>
20.10.19 05:19:51.500 37.663097N 122.489326W 29.06C 1005.26| 25.33C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:51.600 37.663097N 122.489326W 29.06C 1005.27| 25.33C 1004.41| 0.00C 0.00| dv<1.27 0.74 9.65> r<0.03 0.00 0.01>
20.10.19 05:19:51.700 37.663097N 122.489326W 29.06C 1005.25| 25.33C 1004.42| 0.00C 0.00| dv<1.27 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:19:51.800 37.663097N 122.489326W 29.06C 1005.27| 25.32C 1004.40| 0.00C 0.00| dv<1.24 0.75 9.70> r<0.02 0.00 0.01>
20.10.19 05:19:51.900 37.663097N 122.489326W 29.06C 1005.28| 25.33C 1004.40| 0.00C 0.00| dv<1.26 0.73 9.65> r<0.03 -0.00 0.01>
20.10.19 05:19:52.000 37.663097N 122.489326W 29.05C 1005.26| 25.33C 1004.43| 0.00C 0.00| dv<1.27 0.73 9.60> r<0.03 -0.00 0.01>
20.10.19 05:19:52.100 37.663097N 122.489326W 29.05C 1005.27| 25.33C 1004.42| 0.00C 0.00| dv<1.16 0.78 9.47> r<0.02 -0.00 0.01>
20.10.19 05:19:52.200 37.663097N 122.489326W 29.05C 1005.28| 25.33C 1004.41| 0.00C 0.00| dv<1.27 0.70 9.60> r<0.02 -0.00 0.01>
20.10.19 05:19:52.300 37.663097N 122.489326W 29.05C 1005.26| 25.34C 1004.40| 0.00C 0.00| dv<1.22 0.73 9.68> r<0.03 0.00 0.01>
20.10.19 05:19:52.400 37.663097N 122.489326W 29.05C 1005.25| 25.34C 1004.42| 0.00C 0.00| dv<1.27 0.70 9.65> r<0.02 -0.00 0.01>
20.10.19 05:19:52.500 37.663097N 122.489326W 29.05C 1005.27| 25.34C 1004.42| 0.00C 0.00| dv<1.30 0.74 9.66> r<0.03 -0.00 0.01>
20.10.19 05:19:52.600 37.663097N 122.489326W 29.05C 1005.26| 25.34C 1004.41| 0.00C 0.00| dv<1.24 0.73 9.65> r<0.02 -0.00 0.01>
20.10.19 05:19:52.700 37.663097N 122.489326W 29.05C 1005.26| 25.34C 1004.42| 0.00C 0.00| dv<1.28 0.70 9.61> r<0.03 -0.00 0.01>
20.10.19 05:19:52.800 37.663097N 122.489326W 29.05C 1005.25| 25.34C 1004.42| 0.00C 0.00| dv<1.23 0.73 9.66> r<0.02 0.00 0.01>
20.10.19 05:19:52.900 37.663097N 122.489326W 29.05C 1005.24| 25.34C 1004.40| 0.00C 0.00| dv<1.27 0.73 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:53.000 37.663097N 122.489326W 29.05C 1005.26| 25.35C 1004.43| 0.00C 0.00| dv<1.27 0.75 9.67> r<0.03 0.00 0.01>
20.10.19 05:19:53.100 37.663097N 122.489326W 29.04C 1005.27| 25.34C 1004.42| 0.00C 0.00| dv<1.29 0.74 9.62> r<0.03 0.00 0.01>
20.10.19 05:19:53.200 37.663097N 122.489326W 29.05C 1005.28| 25.34C 1004.44| 0.00C 0.00| dv<1.28 0.73 9.64> r<0.02 -0.00 0.01>
20.10.19 05:19:53.300 37.663097N 122.489326W 29.04C 1005.27| 25.34C 1004.43| 0.00C 0.00| dv<1.28 0.74 9.64> r<0.02 0.00 0.01>
20.10.19 05:19:53.400 37.663097N 122.489326W 29.04C 1005.24| 25.33C 1004.41| 0.00C 0.00| dv<1.29 0.76 9.59> r<0.03 -0.00 0.01>
20.10.19 05:19:53.500 37.663097N 122.489326W 29.04C 1005.26| 25.34C 1004.41| 0.00C 0.00| dv<1.24 0.74 9.59> r<0.03 -0.00 0.01>
20.10.19 05:19:53.600 37.663097N 122.489326W 29.04C 1005.26| 25.34C 1004.43| 0.00C 0.00| dv<1.26 0.72 9.63> r<0.03 0.00 0.01>
20.10.19 05:19:53.700 37.663097N 122.489326W 29.04C 1005.27| 25.34C 1004.42| 0.00C 0.00| dv<1.25 0.73 9.60> r<0.02 -0.00 0.01>
20.10.19 05:19:53.800 37.663097N 122.489326W 29.04C 1005.27| 25.35C 1004.40| 0.00C 0.00| dv<1.24 0.73 9.61> r<0.02 -0.00 0.01>
20.10.19 05:19:53.900 37.663097N 122.489326W 29.04C 1005.25| 25.35C 1004.43| 0.00C 0.00| dv<1.26 0.75 9.59> r<0.02 -0.00 0.01>
20.10.19 05:19:54.000 37.663097N 122.489326W 29.04C 1005.28| 25.35C 1004.43| 0.00C 0.00| dv<1.24 0.73 9.60> r<0.02 -0.00 0.01>
20.10.19 05:19:54.100 37.663097N 122.489326W 29.04C 1005.27| 25.35C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.68> r<0.03 -0.00 0.01>
20.10.19 05:19:54.200 37.663097N 122.489326W 29.03C 1005.24| 25.35C 1004.41| 0.00C 0.00| dv<1.29 0.73 9.63> r<0.03 -0.00 0.01>
20.10.19 05:19:54.300 37.663097N 122.489326W 29.03C 1005.25| 25.35C 1004.43| 0.00C 0.00| dv<1.24 0.71 9.65> r<0.02 -0.00 0.01>
20.10.19 05:19:54.400 37.663097N 122.489326W 29.04C 1005.25| 25.35C 1004.41| 0.00C 0.00| dv<1.28 0.71 9.62> r<0.03 0.00 0.01>
20.10.19 05:19:54.500 37.663097N 122.489326W 29.03C 1005.24| 25.35C 1004.41| 0.00C 0.00| dv<1.22 0.74 9.56> r<0.02 0.00 0.01>
20.10.19 05:19:54.600 37.663097N 122.489326W 29.03C 1005.25| 25.35C 1004.42| 0.00C 0.00| dv<1.25 0.74 9.59> r<0.02 -0.00 0.01>
